section,category,id,name_ar,name_en,price_egp,description_ar,description_en,notes_ar,notes_en
restaurant,pasta,54,باستا لورو روسو,Loro Rosso Pasta,190,دجاج مشوي مع صوص لورو روسو اسباجيتي أو بيني,Grilled chicken Loro Rosso sauce spaghetti or penne,,
restaurant,pasta,55,باستا كواترو فورماجي,Quattro Formaggi Pasta,190,أربع أنواع جبنة مع صوص الجبنة,Four cheese with cheese sauce,,
restaurant,pasta,56,باستا جمبري,Shrimp Pasta,260,جمبري كرفس بصل أحمر عصير ليمون ملح وفلفل,Shrimp celery red onion lemon juice salt and pepper,,
cafe,hot_beverages,hb-01,إسبريسو سنجل,Espresso Single,65,,,, 
cafe,hot_beverages,hb-02,إسبريسو دبل,Espresso Double,75,,,,
cafe,hot_beverages,hb-03,كابتشينو,Cappuccino,110,,,,
cafe,hot_beverages,hb-04,لاتيه,Latte,115,,,,
cafe,hot_beverages,hb-05,ماكياتو,Macchiato,80,,,,
cafe,hot_beverages,hb-06,نسكافيه بالحليب,Nescafé with Milk,110,,,,
cafe,hot_beverages,hb-07,نسكافيه كلاسيك,Nescafé Classic,80,,,,
cafe,hot_beverages,hb-08,أمريكانو,Americano,110,,,,
cafe,hot_beverages,hb-09,هوت شوكليت,Hot Chocolate,120,,,,
cafe,hot_beverages,hb-10,هوت سيدر,Hot Cider,100,,,,
cafe,hot_beverages,hb-11,قهوة تركي,Turkish Coffee,60,,,,
cafe,hot_beverages,hb-12,قهوة فرنساوي,French Coffee,70,,,,
cafe,hot_beverages,hb-13,شاي / ينسون / نعناع / كركديه,Tea / Anise / Mint / Hibiscus,70,,,,
cafe,hot_beverages,hb-14,شاي بالحليب,Milk Tea,90,,,,
cafe,fresh_juices,fj-01,مانجو,Mango Juice,130,,Fresh mango juice,,
cafe,fresh_juices,fj-02,فراولة,Strawberry Juice,130,,Natural strawberry juice,,
cafe,fresh_juices,fj-03,جوافة,Guava Juice,130,,Fresh guava juice,,
cafe,fresh_juices,fj-04,كنتالوب / شمام,Cantaloupe Juice,130,,Refreshing cantaloupe juice,,
cafe,fresh_juices,fj-05,رمان,Pomegranate Juice,130,,Natural pomegranate juice,,
cafe,fresh_juices,fj-06,برتقال,Orange Juice,130,,Fresh orange juice,,
cafe,fresh_juices,fj-07,بطيخ,Watermelon Juice,150,,Fresh watermelon juice,,
cafe,fresh_juices,fj-08,كيوي,Kiwi Juice,150,,Fresh kiwi juice,,
cafe,fresh_juices,fj-09,ليمون,Lemon Juice,100,,Fresh lemon juice,,
cafe,fresh_juices,fj-10,ليمون بالنعناع,Lemon Mint,120,,Lemon juice with mint,,
cafe,fresh_juices,fj-11,تفاح,Apple Juice,150,,Fresh apple juice,,
cafe,fresh_juices,fj-12,أناناس,Pineapple Juice,130,,Fresh pineapple juice,,
cafe,fresh_juices,fj-13,خوخ,Peach Juice,130,,Fresh peach juice,,
cafe,fresh_juices,fj-14,أفوكادو,Avocado Juice,150,,Fresh avocado juice,,
cafe,fresh_juices,fj-15,أفوكادو بالعسل والمكسرات,Avocado with Honey & Nuts,150,,Avocado juice with honey and nuts,,
cafe,fresh_juices,fj-16,تمر,Dates Juice,130,,Fresh dates juice,,
cafe,mix_juices,mj-01,بينا كولادا,Pina Colada,150,,Mix juice,,
cafe,mix_juices,mj-02,مانجو كيوي,Mango Kiwi,150,,Mix juice,,
cafe,mix_juices,mj-03,مانجو بلز,Mango Plum,150,,Mix juice,,
cafe,mix_juices,mj-04,مانجو فراولة,Mango Strawberry,150,,Mix juice,,
cafe,mix_juices,mj-05,مانجو كنتالوب,Mango Cantaloupe,150,,Mix juice,,
cafe,mix_juices,mj-06,كيوي كنتالوب,Kiwi Cantaloupe,150,,Mix juice,,
cafe,mix_juices,mj-07,كيوي أناناس,Kiwi Pineapple,150,,Mix juice,,
cafe,mix_juices,mj-08,مانجو موز,Mango Banana,150,,Mix juice,,
cafe,mix_juices,mj-09,فراولة موز,Strawberry Banana,150,,Mix juice,,
cafe,mix_juices,mj-10,الخيمة ميكس,Khayma Mix,150,,Signature house mix,,
cafe,frappuccino,fc-01,فرابتشينو كلاسيك,Frappuccino Classic,150,,,,
cafe,frappuccino,fc-02,فرابتشينو فانيليا,Frappuccino Vanilla,150,,,,
cafe,frappuccino,fc-03,فرابتشينو بندق,Frappuccino Hazelnut,150,,,,
cafe,frappuccino,fc-04,آيس كوفي,Iced Coffee,150,,,,
cafe,frappuccino,fc-05,آيس لاتيه,Iced Latte,150,,,,
cafe,frappuccino,fc-06,سبانيش لاتيه,Spanish Latte,150,,,,
cafe,milkshakes,ms-01,فانيليا,Vanilla Milkshake,150,,,,
cafe,milkshakes,ms-02,شوكولاتة,Chocolate Milkshake,150,,,,
cafe,milkshakes,ms-03,كراميل,Caramel Milkshake,150,,,,
cafe,milkshakes,ms-04,أوريو,Oreo Milkshake,150,,,,
cafe,milkshakes,ms-05,تونكيز,Tonkeys Milkshake,150,,,,
cafe,milkshakes,ms-06,توت مشكل,Berries Milkshake,150,,,,
cafe,milkshakes,ms-07,مانجو,Mango Milkshake,150,,,,
cafe,milkshakes,ms-08,فراولة,Strawberry Milkshake,150,,,,
cafe,mojito,mo-01,موهيتو كلاسيك,Mojito Classic,110,,,,
cafe,mojito,mo-02,موهيتو صودا,Mojito Soda,115,,,,
cafe,mojito,mo-03,موهيتو صن شاين,Mojito Sunshine,115,,,,
cafe,mojito,mo-04,مهيتو ريدبول اسبيشال,Mojito Red Bull Special,150,,,,
cafe,cold_drinks,cd-01,كولا / فانتا / سبرايت,Cola / Fanta / Sprite,65,,,,
cafe,cold_drinks,cd-02,فيروز,Fayrouz,70,,,,
cafe,cold_drinks,cd-03,بريل,Barrel,70,,,,
cafe,cold_drinks,cd-04,ريد بول,Red Bull,110,,,,
cafe,cold_drinks,cd-05,مياه صغيرة,Water Small,25,,,,
cafe,cold_drinks,cd-06,مياه كبيرة,Water Large,35,,,,
cafe,fruit_salad,fs-01,فروت سلاط صغير,Fruit Salad Small,120,,,,
cafe,fruit_salad,fs-02,فروت سلاط كبير,Fruit Salad Large,200,,,,
cafe,fruit_salad,fs-03,طبق بطيخ صغير,Watermelon Plate Small,120,,,,
cafe,fruit_salad,fs-04,طبق بطيخ كبير,Watermelon Plate Large,200,,,,
